ESTACION,LATITUD,LONGITUD,FUENTE
DOS DE MAYO,-9.7171,-76.77374,HTML_EMBEDDED
TINGO MARIA,-9.31016,-76.00049,HTML_EMBEDDED
TINGO MARIA,-9.29601,-76.00207,HTML_EMBEDDED
LA DIVISORIA,-9.20091,-75.81393,HTML_EMBEDDED
AUCAYACU,-8.92987,-76.11171,HTML_EMBEDDED
TULUMAYO,-9.14706,-76.00944,HTML_EMBEDDED
CHAGLLA,-9.85008,-75.90706,HTML_EMBEDDED
PUERTO INCA,-9.38271,-74.96792,HTML_EMBEDDED
PUERTO INCA,-9.3851,-74.96376,HTML_EMBEDDED
TOURNAVISTA,-8.92749,-74.70882,HTML_EMBEDDED
JACAS CHICO,-9.88474,-76.50094,HTML_EMBEDDED
TACAMA,-13.99978,-75.72052,HTML_EMBEDDED
OCUCAJE,-14.37844,-75.68208,HTML_EMBEDDED
SAN CAMILO,-14.07331,-75.71101,HTML_EMBEDDED
LOS MOLINOS (ALEJANDRO PLAZA GARCIA),-13.92475,-75.67869,HTML_EMBEDDED
HUAMANI,-13.843,-75.60704,HTML_EMBEDDED
FONAGRO (CHINCHA),-13.45781,-76.13425,HTML_EMBEDDED
SAN JUAN DE YANAC,-13.21058,-75.78697,HTML_EMBEDDED
SAN PEDRO DE HUACARPANA,-13.0479,-75.6464,HTML_EMBEDDED
HUALLPOCA,-14.63201,-74.95588,HTML_EMBEDDED
COPARA,-14.97501,-74.89082,HTML_EMBEDDED
PALPA,-14.54939,-75.18926,HTML_EMBEDDED
IMATA,-15.84266,-71.09062,HTML_EMBEDDED
SIBAYO,-15.4892,-71.45696,HTML_EMBEDDED
CHUQUIBAMBA,-15.84602,-72.65065,HTML_EMBEDDED
SALAMANCA,-15.50294,-72.83202,HTML_EMBEDDED
LA PASCANA,-16.99936,-71.63879,HTML_EMBEDDED
PAMPA BLANCA,-17.0716,-71.7245,HTML_EMBEDDED
COTAHUASI,-15.21134,-72.89325,HTML_EMBEDDED
MARCELINO SERNA (PAMPAS),-13.43453,-73.82791,HTML_EMBEDDED
WAYLLAPAMPA,-13.0765,-74.21651,HTML_EMBEDDED
LA QUINUA,-13.05548,-74.14159,HTML_EMBEDDED
SAN PEDRO DE CACHI,-13.08742,-74.39067,HTML_EMBEDDED
PUQUIO,-14.69928,-74.1316,HTML_EMBEDDED
HUAC-HUAS,-14.1324,-74.941,HTML_EMBEDDED
LLAUTA,-14.23998,-74.92135,HTML_EMBEDDED
CORACORA,-15.01194,-73.77945,HTML_EMBEDDED
PAUZA,-15.2753,-73.3411,HTML_EMBEDDED
PAUCARAY,-14.0439,-73.6386,HTML_EMBEDDED
HUANCAPI,-13.749,-74.0681,HTML_EMBEDDED
VILCASHUAMAN,-13.66882,-73.95238,HTML_EMBEDDED
MASHCON,-7.165,-78.47833,HTML_EMBEDDED
GRANJA PORCON,-7.03753,-78.6334,HTML_EMBEDDED
AUGUSTO WEBERBAUER,-7.1675,-78.49309,HTML_EMBEDDED
ASUNCION,-7.32604,-78.51582,HTML_EMBEDDED
COSPAN,-7.42857,-78.54106,HTML_EMBEDDED
LA ENCAÑADA,-7.12327,-78.33314,HTML_EMBEDDED
JESUS TUNEL,-7.22064,-78.40376,HTML_EMBEDDED
JESUS,-7.2457,-78.38841,HTML_EMBEDDED
MAGDALENA,-7.25346,-78.65261,HTML_EMBEDDED
NAMORA BOCATOMA,-7.24262,-78.29472,HTML_EMBEDDED
NAMORA,-7.2006,-78.32782,HTML_EMBEDDED
SAN JUAN,-7.29756,-78.49106,HTML_EMBEDDED
CAJABAMBA,-7.62166,-78.05131,HTML_EMBEDDED
CACHACHI,-7.45106,-78.26855,HTML_EMBEDDED
PUENTE CRISNEJAS,-7.46354,-78.11313,HTML_EMBEDDED
CELENDIN,-6.85292,-78.14485,HTML_EMBEDDED
BALZAS,-6.84465,-78.03024,HTML_EMBEDDED
CHOTA,-6.54713,-78.64863,HTML_EMBEDDED
COCHABAMBA,-6.46009,-78.8886,HTML_EMBEDDED
HUAMBOS,-6.45368,-78.96315,HTML_EMBEDDED
