CODIGO_ID,ESTACION,LATITUD,LONGITUD,TIPO_REPORTE
115053,COJATA,-15.0118,-69.3612,DIFERIDO
270200,RAMIS,-15.2558,-69.8739,DIFERIDO
115047,TARACO,-15.31167,-69.97247,DIFERIDO
115140,SANTA LUCIA,-15.6941,-70.5993,DIFERIDO
210103,PUENTE AYAVIRI,-14.89249,-70.58544,DIFERIDO
114047,SANTA ROSA,-14.6178,-70.79278,DIFERIDO
114035,CHUQUIBAMBILLA,-14.7879,-70.7285,DIFERIDO
100065,ISLA SOTO,-15.56221,-69.48898,DIFERIDO
115138,JULIACA,-15.4441,-70.2078,DIFERIDO
210406,PUENTE ISLA CABANILLAS,-15.4718,-70.224,DIFERIDO
210405,LAMPA,-15.4437,-70.2092,DIFERIDO
114096,CUYO CUYO,-14.4888,-69.55,DIFERIDO
114049,LIMBANI,-14.1397,-69.687,DIFERIDO
260501,LIMBANI,-14.1481,-69.6902,DIFERIDO
114043,TAMBOPATA,-14.22529,-69.16178,DIFERIDO
116009,ISLA SUANA,-16.3299,-68.85034,DIFERIDO
107069,JOSE OLAYA,-7.40711,-76.41389,DIFERIDO
107095,CUZCO-BIAVO,-7.25442,-76.4771,DIFERIDO
221804,BIAVO,-7.25497,-76.47778,DIFERIDO
107013,LA UNION,-7.16319,-76.49275,DIFERIDO
107089,NUEVO LIMA,-7.09628,-76.47233,DIFERIDO
106094,CUÑUMBUQUE,-6.50825,-76.48075,DIFERIDO
106115,SHANAO,-6.41312,-76.60028,DIFERIDO
221802,SHANAO,-6.41291,-76.60001,DIFERIDO
110127,PACAYZAPA,-6.2818,-76.76171,DIFERIDO
107101,HUAYABAMBA,-7.26356,-76.73494,DIFERIDO
100019,CAMPANILLA,-7.48434,-76.65311,DIFERIDO
106095,PICOTA,-6.91989,-76.33022,DIFERIDO
105103,NARANJILLO,-5.80964,-77.39264,DIFERIDO
106112,PELEJO,-6.21531,-75.8025,DIFERIDO
106110,PUCALLPA - HUIMBAYOC,-6.45278,-75.84556,DIFERIDO
221801,CUMBAZA,-6.47251,-76.38199,DIFERIDO
106096,SAN ANTONIO,-6.41274,-76.4072,DIFERIDO
215000,CANAL UCHUSUMA,-17.5807,-69.6264,DIFERIDO
100016,BOCATOMA,-17.5802,-69.62672,DIFERIDO
117043,PAUCARANI,-17.53291,-69.78039,DIFERIDO
117030,CAIRANI,-17.28121,-70.36269,DIFERIDO
117054,ARICOTA,-17.32913,-70.23731,DIFERIDO
117060,CHUAPALCA ALTERNATIVA ALTA,-17.28727,-69.6435,DIFERIDO
270900,CHUAPALCA,-17.2981,-69.6468,DIFERIDO
117049,LA FRONTERA,-17.3824,-69.4864,DIFERIDO
117013,CHUAPALCA,-17.3088,-69.6618,DIFERIDO
117039,TALABAYA,-17.5526,-69.9868,DIFERIDO
117014,VILACOTA,-17.07906,-70.04302,DIFERIDO
211705,VILACOTA,-17.0786,-70.0424,DIFERIDO
103043,CABO INGA,-3.97594,-80.40182,DIFERIDO
103041,EL SALTO,-3.45171,-80.2802,DIFERIDO
103008,MATAPALO,-3.68277,-80.19857,DIFERIDO
108021,PUCALLPA,-8.41323,-74.57185,DIFERIDO
108027,EL MARONAL,-8.44999,-75.09681,DIFERIDO
113153,LETRAYOC,-13.65773,-75.74496,DIFERIDO
113009,HUANCANO,-13.60118,-75.62102,DIFERIDO
111174,ACOPALCA,-11.9873,-75.1035,DIFERIDO
250502,CHIRANI,-10.86167,-75.00632,DIFERIDO
110143,CHIRANI,-10.86167,-75.00632,DIFERIDO
111039,PUERTO OCOPA,-11.1467,-74.3051,DIFERIDO
111070,CARHUACAYAN,-11.20267,-76.28505,DIFERIDO
230801,RIO PALLANGA,-11.1865,-76.32569,DIFERIDO
230803,RUMICHACA,-11.69886,-76.10639,DIFERIDO
111099,YAULI,-11.66667,-76.08333,DIFERIDO
108043,JULCAN,-8.04229,-78.48607,DIFERIDO
107059,SINSICAP,-7.85021,-78.75503,DIFERIDO
211004,PUENTE COINA,-7.79636,-78.38012,DIFERIDO
100136,TALLA (GUADALUPE),-7.28005,-79.4191,DIFERIDO
107092,HUANGACOCHA,-7.9375,-78.0681,DIFERIDO
220204,LAGUNA HUANGACOCHA,-7.9325,-78.06705,DIFERIDO
108046,MOLLEPATA,-8.19137,-77.95397,DIFERIDO
108048,HUACAMARCANGA,-8.1221,-78.2937,DIFERIDO
201717,HUACAMARCANGA,-8.1081,-78.2876,DIFERIDO
108044,QUIRUVILCA,-8.00422,-78.30791,DIFERIDO
211002,PUENTE PALMIRA,-7.54919,-78.81051,DIFERIDO
211003,EL TAMBO,-7.57398,-78.70655,DIFERIDO
106049,TINAJONES,-6.65493,-79.4279,DIFERIDO
106037,INCAHUASI,-6.23389,-79.31806,DIFERIDO
106060,CUEVA BLANCA,-6.1313,-79.4045,DIFERIDO
106120,PUCHACA,-6.37361,-79.46951,DIFERIDO
200801,PUCHACA,-6.37317,-79.46697,DIFERIDO
105122,CERRO DE ARENA,-5.92461,-80.20463,DIFERIDO
105121,PASAJE SUR,-5.91741,-79.97184,DIFERIDO
106057,CUTERVO,-6.37964,-78.80512,REAL
221106,LLAUCANO CORELLAMA,-6.68656,-78.51823,REAL
100015,BAMBAMARCA,-6.67655,-78.51834,REAL
105067,JAEN,-5.67664,-78.77416,REAL
105062,LA CASCARILLA,-5.67175,-78.89767,REAL
105065,CHONTALI,-5.64389,-79.09,REAL
105053,SALLIQUE,-5.65886,-79.31264,REAL
105058,SAN IGNACIO,-5.14708,-78.99512,REAL
105074,CHIRINOS,-5.3085,-78.89759,REAL
105107,NAMBALLE,-4.99953,-79.08862,REAL
105056,TABACONAS,-5.31515,-79.28488,REAL
107006,SAN MARCOS,-7.32249,-78.1727,REAL
107038,SONDOR-MATARA,-7.23687,-78.21262,REAL
106038,SAN MIGUEL,-6.99684,-78.85308,REAL
106039,QUILCATE,-6.82275,-78.744,REAL
106019,LLAPA,-6.97833,-78.81119,REAL
100092,NIEPOS,-6.92511,-79.12902,REAL
107036,SAN PABLO,-7.11775,-78.83083,REAL
106056,SANTA CRUZ,-6.61657,-78.94761,REAL
106068,UDIMA,-6.81474,-79.09377,REAL
100044,GRANJA KAYRA,-13.55675,-71.87517,REAL
114046,POMACANCHI,-14.02781,-71.57258,REAL
230503,PUENTE CUNYAC,-13.563,-72.5752,REAL
113035,ANTA ANCACHURO,-13.47242,-72.21876,REAL
100101,PISAC,-13.41951,-71.85087,REAL
250303,PISAC,-13.4226,-71.8539,REAL
